# L_m H_m fuel_kg V_kmh
4124.9 530.036 1253.56 546.938
4132.49 530.03 1255.4 547.239
4140.1 530.024 1257.24 547.54
4147.7 530.018 1259.08 547.84
4155.32 530.012 1260.92 548.14
4162.93 530.006 1262.76 548.441
4170.55 530 1264.6 548.741
4178.17 529.993 1266.44 549.041
4185.8 529.987 1268.28 549.34
4193.43 529.981 1270.12 549.64
4201.07 529.975 1271.96 549.94
4208.71 529.969 1273.8 550.239
4216.35 529.963 1275.65 550.539
4224 529.957 1277.49 550.838
4231.65 529.951 1279.33 551.137
4239.31 529.945 1281.17 551.436
4246.97 529.939 1283.01 551.735
4254.64 529.933 1284.85 552.034
4262.31 529.927 1286.69 552.332
4269.98 529.921 1288.53 552.631
4277.66 529.915 1290.37 552.929
4285.34 529.909 1292.21 553.227
4293.02 529.903 1294.05 553.525
4300.71 529.897 1295.89 553.824
4308.41 529.891 1297.73 554.121
4316.11 529.885 1299.57 554.419
4323.81 529.879 1301.41 554.717
4331.51 529.874 1303.25 555.014
4339.23 529.868 1305.1 555.312
4346.94 529.862 1306.94 555.609
4354.66 529.856 1308.78 555.906
4362.38 529.85 1310.62 556.203
4370.11 529.844 1312.46 556.5
4377.84 529.838 1314.3 556.797
4385.58 529.832 1316.14 557.094
4393.32 529.826 1317.98 557.391
4401.06 529.821 1319.82 557.687
4408.81 529.815 1321.66 557.983
4416.56 529.809 1323.5 558.28
4424.31 529.803 1325.34 558.576
4432.07 529.797 1327.18 558.872
4439.84 529.791 1329.02 559.168
4447.61 529.785 1330.86 559.463
4455.38 529.78 1332.71 559.759
4463.16 529.774 1334.55 560.055
4470.94 529.768 1336.39 560.35
4478.72 529.762 1338.23 560.645
4486.51 529.756 1340.07 560.94
4494.3 529.751 1341.91 561.235
4502.1 529.745 1343.75 561.53
4509.9 529.739 1345.59 561.825
4517.71 529.733 1347.43 562.12
4525.51 529.728 1349.27 562.414
4533.33 529.722 1351.11 562.709
4541.15 529.716 1352.95 563.003
4548.97 529.71 1354.79 563.297
4556.79 529.705 1356.63 563.591
4564.62 529.699 1358.47 563.885
4572.46 529.693 1360.31 564.179
4580.29 529.687 1362.15 564.473
4588.14 529.682 1364 564.766
4595.98 529.676 1365.84 565.06
4603.83 529.67 1367.68 565.353
4611.69 529.665 1369.52 565.646
4619.54 529.659 1371.36 565.94
4627.41 529.653 1373.2 566.233
4635.27 529.648 1375.04 566.525
4643.14 529.642 1376.88 566.818
4651.02 529.636 1378.72 567.111
4658.9 529.631 1380.56 567.403
4666.78 529.625 1382.4 567.696
4674.67 529.619 1384.24 567.988
4682.56 529.614 1386.08 568.28
4690.45 529.608 1387.92 568.572
4698.35 529.603 1389.76 568.864
4706.25 529.597 1391.6 569.156
4714.16 529.591 1393.45 569.447
4722.07 529.586 1395.29 569.739
4729.99 529.58 1397.13 570.03
